VALVESIZE,FIGNO,LIFT,STMDIA,PITCH,LEAD,PACKLOAD,PORT DIA,HDWLDIA,VALFACT,MAX DP,VALMFG,WGT,Notes
3,6003,3.62,1,0.2,0.2,1000,3.125,12,0.3,1480,2,120,
4,6003,4.64,1.125,0.2,0.2,1500,4,16,0.3,1480,2,218,
6,6003,6.65,1.5,0.25,0.25,1500,6,20,0.3,1480,2,480,
8,6003,8.5,1.625,0.25,0.25,2500,8,18,0.3,1480,2,475,
10,6003,10.55,1.875,0.25,0.25,2500,9.75,20,0.3,1480,2,700,
12,6003,12.55,2,0.25,0.25,2500,11.75,22,0.3,1480,2,1030,
18,3003,17.8,2,0.25,0.25,2500,17,24,0.3,740,2,2560,
20,3003,19.9,2.25,0.333333333,0.333333333,2500,19,26,0.3,740,2,3110,
24,3003,24,2.5,0.333333333,0.333333333,2500,23,26,0.3,740,2,5120,
0.75,1303,1.1875,0.6875,0.125,0.25,1000,0.75,,0.3,3705,1,,
2,1503,2.46875,0.812,0.125,0.25,1000,2,8,0.3,285,1,35,
